impettus@Impettus-HP-Z220-CMT-BR-Workstation:~/Documents/T2_LABREDES/src$ sudo python3 HostScanner.py 192.168.100.0/24 5000
Usando a interface: eno1
192.168.100.0/24
5000ms

IP origem: 192.168.100.8
MAC origem: 6f:40:50:c6:cf:65

Hosts ativos encontrados:
IPv4: 192.168.100.144, Response time: 1958.62 ms
IPv4: 192.168.100.115, Response time: 1966.87 ms
IPv4: 192.168.100.104, Response time: 1963.50 ms
IPv4: 192.168.100.133, Response time: 1959.17 ms
IPv4: 192.168.100.124, Response time: 1957.17 ms
IPv4: 192.168.100.129, Response time: 1958.98 ms
IPv4: 192.168.100.147, Response time: 1958.49 ms
IPv4: 192.168.100.149, Response time: 1957.21 ms
IPv4: 192.168.100.126, Response time: 1958.39 ms
IPv4: 192.168.100.101, Response time: 1957.46 ms
IPv4: 192.168.100.103, Response time: 1966.19 ms
IPv4: 192.168.100.116, Response time: 1966.89 ms
IPv4: 192.168.100.112, Response time: 1966.88 ms
IPv4: 192.168.100.135, Response time: 1958.44 ms
IPv4: 192.168.100.146, Response time: 1958.19 ms
IPv4: 192.168.100.110, Response time: 1966.05 ms
IPv4: 192.168.100.145, Response time: 1957.39 ms
IPv4: 192.168.100.107, Response time: 1967.02 ms
IPv4: 192.168.100.119, Response time: 1957.69 ms
IPv4: 192.168.100.120, Response time: 1958.99 ms
IPv4: 192.168.100.125, Response time: 1959.58 ms
IPv4: 192.168.100.113, Response time: 1965.61 ms
IPv4: 192.168.100.142, Response time: 1957.21 ms
IPv4: 192.168.100.139, Response time: 1958.26 ms
IPv4: 192.168.100.137, Response time: 1958.05 ms
IPv4: 192.168.100.148, Response time: 1958.01 ms
IPv4: 192.168.100.150, Response time: 1958.30 ms
IPv4: 192.168.100.122, Response time: 1959.43 ms
IPv4: 192.168.100.130, Response time: 1958.90 ms
IPv4: 192.168.100.105, Response time: 1967.09 ms
IPv4: 192.168.100.111, Response time: 1963.33 ms
IPv4: 192.168.100.118, Response time: 1966.34 ms
IPv4: 192.168.100.136, Response time: 1958.53 ms
IPv4: 192.168.100.123, Response time: 1957.35 ms
IPv4: 192.168.100.131, Response time: 1958.18 ms
IPv4: 192.168.100.143, Response time: 1958.99 ms
IPv4: 192.168.100.106, Response time: 1966.83 ms
IPv4: 192.168.100.176, Response time: 1950.30 ms
IPv4: 192.168.100.161, Response time: 1954.34 ms
IPv4: 192.168.100.193, Response time: 1950.82 ms
IPv4: 192.168.100.178, Response time: 1950.60 ms
IPv4: 192.168.100.168, Response time: 1953.84 ms
IPv4: 192.168.100.198, Response time: 1950.06 ms
IPv4: 192.168.100.160, Response time: 1955.18 ms
IPv4: 192.168.100.182, Response time: 1951.00 ms
IPv4: 192.168.100.177, Response time: 1949.51 ms
IPv4: 192.168.100.152, Response time: 1950.74 ms
IPv4: 192.168.100.175, Response time: 1950.69 ms
IPv4: 192.168.100.186, Response time: 1951.18 ms
IPv4: 192.168.100.179, Response time: 1950.77 ms
IPv4: 192.168.100.183, Response time: 1949.63 ms
IPv4: 192.168.100.157, Response time: 1954.41 ms
IPv4: 192.168.100.166, Response time: 1953.78 ms
IPv4: 192.168.100.174, Response time: 1949.34 ms
IPv4: 192.168.100.173, Response time: 1949.93 ms
IPv4: 192.168.100.192, Response time: 1951.32 ms
IPv4: 192.168.100.196, Response time: 1949.26 ms
IPv4: 192.168.100.185, Response time: 1948.80 ms
IPv4: 192.168.100.197, Response time: 1951.36 ms
IPv4: 192.168.100.189, Response time: 1951.00 ms
IPv4: 192.168.100.190, Response time: 1949.58 ms
IPv4: 192.168.100.194, Response time: 1950.00 ms
IPv4: 192.168.100.164, Response time: 1954.90 ms
IPv4: 192.168.100.156, Response time: 1954.96 ms
IPv4: 192.168.100.153, Response time: 1954.68 ms
IPv4: 192.168.100.170, Response time: 1950.67 ms
IPv4: 192.168.100.155, Response time: 1953.68 ms
IPv4: 192.168.100.171, Response time: 1954.50 ms
IPv4: 192.168.100.151, Response time: 1955.39 ms
IPv4: 192.168.100.180, Response time: 1951.54 ms
IPv4: 192.168.100.169, Response time: 1950.66 ms
IPv4: 192.168.100.163, Response time: 1954.94 ms
IPv4: 192.168.100.158, Response time: 1954.69 ms
IPv4: 192.168.100.167, Response time: 1954.63 ms
IPv4: 192.168.100.165, Response time: 1954.37 ms
IPv4: 192.168.100.195, Response time: 1950.02 ms
IPv4: 192.168.100.154, Response time: 1954.00 ms
IPv4: 192.168.100.181, Response time: 1950.55 ms
IPv4: 192.168.100.162, Response time: 1953.91 ms
IPv4: 192.168.100.199, Response time: 1950.26 ms
IPv4: 192.168.100.172, Response time: 1950.36 ms
IPv4: 192.168.100.200, Response time: 1950.18 ms
IPv4: 192.168.100.159, Response time: 1955.15 ms
IPv4: 192.168.100.184, Response time: 1950.54 ms
IPv4: 192.168.100.188, Response time: 1950.31 ms
IPv4: 192.168.100.191, Response time: 1950.08 ms
IPv4: 192.168.100.187, Response time: 1950.69 ms

Número total de máquinas na rede: 254
Número de máquinas ativas: 200
Tempo total de varredura: 0:18s
